Tasks,group_pair,Model,auc,ci_lower,ci_upper,std,gate_audio
All Tasks,AD vs FTD,Classic Audio,0.606033142298636,0.5406343980643417,0.6726130161155761,0.0,
All Tasks,AD vs FTD,Classic Lang,0.6698834540257971,0.6076738934056007,0.7304725557502811,0.0,
All Tasks,AD vs FTD,Classic Combined,0.6436841559672428,0.5808569309411412,0.7042051806263694,0.0,
All Tasks,AD vs FTD,Classic Fusion (GMU),0.648222488782265,0.5887033843144511,0.7091287719834205,0.0,0.5009627342224121
All Tasks,AD vs FTD,WavLM,0.5710941378016656,0.5459209462484388,0.5971987267520071,0.0,
All Tasks,AD vs FTD,RoBERTa,0.593030975035075,0.566291363628508,0.6198206115739264,0.0,
All Tasks,AD vs FTD,Fusion (GMU),0.5944593411882797,0.5698615132772236,0.6203777749708352,0.0,0.439539298415184
All Tasks,CN vs AD,Classic Audio,0.7873037037037037,0.7455178206028293,0.8293734788359788,0.0,
All Tasks,CN vs AD,Classic Lang,0.8536493827160494,0.818583829285884,0.8862597587269132,0.0,
All Tasks,CN vs AD,Classic Combined,0.8659950617283951,0.8332186287148166,0.8982213660595177,0.0,
All Tasks,CN vs AD,Classic Fusion (GMU),0.8682469135802469,0.8347218625311463,0.8999401311004182,0.0,0.5005748867988586
All Tasks,CN vs AD,WavLM,0.7245606739747126,0.7060261341095142,0.7443532640079988,0.0,
All Tasks,CN vs AD,RoBERTa,0.7660505786139079,0.7489527793522417,0.7838506177637323,0.0,
All Tasks,CN vs AD,Fusion (GMU),0.7712228571351272,0.7540485050165608,0.7884436632354639,0.0,0.3758449256420135
All Tasks,CN vs FTD,Classic Audio,0.7845335939698195,0.7342463748299606,0.8332068076881234,0.0,
All Tasks,CN vs FTD,Classic Lang,0.8552054733662091,0.8133834929320565,0.894321598593899,0.0,
All Tasks,CN vs FTD,Classic Combined,0.8469726183600634,0.8025280713229064,0.8871141975308642,0.0,
All Tasks,CN vs FTD,Classic Fusion (GMU),0.8573272913057,0.8150285044247454,0.8966602215849699,0.0,0.5032059550285339
All Tasks,CN vs FTD,WavLM,0.7549741851416275,0.7321488394880223,0.7764809440785023,0.0,
All Tasks,CN vs FTD,RoBERTa,0.7981931964193604,0.7778641245034543,0.8189277470108705,0.0,
All Tasks,CN vs FTD,Fusion (GMU),0.7938064924723052,0.7746959814464072,0.8141149702361684,0.0,0.4427845925092697
CraftIm Only,AD vs FTD,Classic Audio,0.5516461563522739,0.4879512104053363,0.6166270408205892,0.0,
CraftIm Only,AD vs FTD,Classic Lang,0.5725280258267064,0.510877546417528,0.6340838844717813,0.0,
CraftIm Only,AD vs FTD,Classic Combined,0.5736617945414426,0.5105752720198081,0.6367967673578399,0.0,
CraftIm Only,AD vs FTD,Classic Fusion (GMU),0.5685869355961319,0.5047913648855071,0.6304300271855747,0.0,0.5001972317695618
CraftIm Only,AD vs FTD,WavLM,0.5561036841654007,0.49099486330984593,0.6214251859742886,0.0,
CraftIm Only,AD vs FTD,RoBERTa,0.5927704495031575,0.5306695674011237,0.6566480632346059,0.0,
CraftIm Only,AD vs FTD,Fusion (GMU),0.5597216187862282,0.49702694731911745,0.6219205658816543,0.0,0.4921455383300781
CraftIm Only,CN vs AD,Classic Audio,0.7508296296296297,0.7056708389715609,0.7944802943935374,0.0,
CraftIm Only,CN vs AD,Classic Lang,0.8019506172839506,0.7596422155573148,0.8420992383586768,0.0,
CraftIm Only,CN vs AD,Classic Combined,0.8095061728395061,0.7691924180226531,0.8489631482237734,0.0,
CraftIm Only,CN vs AD,Classic Fusion (GMU),0.8087259259259258,0.769281814510465,0.8473054590386162,0.0,0.5002906769514084
CraftIm Only,CN vs AD,WavLM,0.7796757001957295,0.7373076443581389,0.8208579154375615,0.0,
CraftIm Only,CN vs AD,RoBERTa,0.8399932738168032,0.80232122343458,0.8748673907542681,0.0,
CraftIm Only,CN vs AD,Fusion (GMU),0.8435878006196744,0.8059212068061626,0.8784984014560184,0.0,0.40130430459976196
CraftIm Only,CN vs FTD,Classic Audio,0.6917555940586728,0.6299661350759387,0.7486647894162586,0.0,
CraftIm Only,CN vs FTD,Classic Lang,0.73041650006664,0.6715394253111089,0.7845155574334588,0.0,
